8,7,Environment,Site Outdoor Air Drybulb Temperature [C] !Daily [Value,Min,Hour,Minute,Max,Hour,Minute]
11,7,Environment,Site Outdoor Air Dewpoint Temperature [C] !Daily [Value,Min,Hour,Minute,Max,Hour,Minute]
14,7,Environment,Site Outdoor Air Barometric Pressure [Pa] !Daily [Value,Min,Hour,Minute,Max,Hour,Minute]
17,7,Environment,Site Wind Speed [m/s] !Daily [Value,Min,Hour,Minute,Max,Hour,Minute]
20,7,Environment,Site Wind Direction [deg] !Daily [Value,Min,Hour,Minute,Max,Hour,Minute]
23,7,Environment,Site Diffuse Solar Radiation Rate per Area [W/m2] !Daily [Value,Min,Hour,Minute,Max,Hour,Minute]
26,7,Environment,Site Direct Solar Radiation Rate per Area [W/m2] !Daily [Value,Min,Hour,Minute,Max,Hour,Minute]
29,7,Environment,Site Solar Azimuth Angle [deg] !Daily [Value,Min,Hour,Minute,Max,Hour,Minute]
32,7,Environment,Site Solar Altitude Angle [deg] !Daily [Value,Min,Hour,Minute,Max,Hour,Minute]
35,7,E2F4:F4%AHU6,Zone People Sensible Heating Rate [W] !Daily [Value,Min,Hour,Minute,Max,Hour,Minute]
38,7,E2F4:475,Zone People Sensible Heating Rate [W] !Daily [Value,Min,Hour,Minute,Max,Hour,Minute]
41,7,E2F4:F4%AHU4,Zone People Sensible Heating Rate [W] !Daily [Value,Min,Hour,Minute,Max,Hour,Minute]
44,7,E2F4:499,Zone People Sensible Heating Rate [W] !Daily [Value,Min,Hour,Minute,Max,Hour,Minute]
47,7,E2F4:495,Zone People Sensible Heating Rate [W] !Daily [Value,Min,Hour,Minute,Max,Hour,Minute]
50,7,E2F4:493,Zone People Sensible Heating Rate [W] !Daily [Value,Min,Hour,Minute,Max,Hour,Minute]
53,7,E2F4:491,Zone People Sensible Heating Rate [W] !Daily [Value,Min,Hour,Minute,Max,Hour,Minute]
56,7,E2F4:489,Zone People Sensible Heating Rate [W] !Daily [Value,Min,Hour,Minute,Max,Hour,Minute]
59,7,E2F4:485,Zone People Sensible Heating Rate [W] !Daily [Value,Min,Hour,Minute,Max,Hour,Minute]
62,7,E2F4:483,Zone People Sensible Heating Rate [W] !Daily [Value,Min,Hour,Minute,Max,Hour,Minute]
65,7,E2F4:481,Zone People Sensible Heating Rate [W] !Daily [Value,Min,Hour,Minute,Max,Hour,Minute]
68,7,E2F4:479,Zone People Sensible Heating Rate [W] !Daily [Value,Min,Hour,Minute,Max,Hour,Minute]
71,7,E2F4:477,Zone People Sensible Heating Rate [W] !Daily [Value,Min,Hour,Minute,Max,Hour,Minute]
74,7,E2F4:F4%AHU3,Zone People Sensible Heating Rate [W] !Daily [Value,Min,Hour,Minute,Max,Hour,Minute]
77,7,E2F4:F4%AHU5,Zone People Sensible Heating Rate [W] !Daily [Value,Min,Hour,Minute,Max,Hour,Minute]
80,7,E2F3:F3%AHU6,Zone People Sensible Heating Rate [W] !Daily [Value,Min,Hour,Minute,Max,Hour,Minute]
83,7,E2F3:F3%AHU4,Zone People Sensible Heating Rate [W] !Daily [Value,Min,Hour,Minute,Max,Hour,Minute]
86,7,E2F3:F3%AHU5,Zone People Sensible Heating Rate [W] !Daily [Value,Min,Hour,Minute,Max,Hour,Minute]
89,7,E2F3:F3%AHU3,Zone People Sensible Heating Rate [W] !Daily [Value,Min,Hour,Minute,Max,Hour,Minute]
92,7,E2F2:F2%AHU6,Zone People Sensible Heating Rate [W] !Daily [Value,Min,Hour,Minute,Max,Hour,Minute]
95,7,E2F2:F2%AHU4,Zone People Sensible Heating Rate [W] !Daily [Value,Min,Hour,Minute,Max,Hour,Minute]
98,7,E2F2:F2%AHU5,Zone People Sensible Heating Rate [W] !Daily [Value,Min,Hour,Minute,Max,Hour,Minute]
101,7,E2F2:F2%AHU3,Zone People Sensible Heating Rate [W] !Daily [Value,Min,Hour,Minute,Max,Hour,Minute]
104,7,E2F5:F5%AHU6,Zone People Sensible Heating Rate [W] !Daily [Value,Min,Hour,Minute,Max,Hour,Minute]
107,7,E2F5:F5%AHU4,Zone People Sensible Heating Rate [W] !Daily [Value,Min,Hour,Minute,Max,Hour,Minute]
110,7,E2F5:F5%AHU5,Zone People Sensible Heating Rate [W] !Daily [Value,Min,Hour,Minute,Max,Hour,Minute]
113,7,E2F5:F5%AHU3,Zone People Sensible Heating Rate [W] !Daily [Value,Min,Hour,Minute,Max,Hour,Minute]
116,7,E2F1:F1%AHU5,Zone People Sensible Heating Rate [W] !Daily [Value,Min,Hour,Minute,Max,Hour,Minute]
119,7,E2F1:F1%AHU4,Zone People Sensible Heating Rate [W] !Daily [Value,Min,Hour,Minute,Max,Hour,Minute]
122,7,E2F1:F1%AHU3,Zone People Sensible Heating Rate [W] !Daily [Value,Min,Hour,Minute,Max,Hour,Minute]
125,7,E2F1:F%%AHU6,Zone People Sensible Heating Rate [W] !Daily [Value,Min,Hour,Minute,Max,Hour,Minute]
1780,7,E2F4:F4%AHU6,Zone Windows Total Transmitted Solar Radiation Rate [W] !Daily [Value,Min,Hour,Minute,Max,Hour,Minute]
1783,7,E2F4:F4%AHU6,Zone Interior Windows Total Transmitted Beam Solar Radiation Rate [W] !Daily [Value,Min,Hour,Minute,Max,Hour,Minute]
1786,7,E2F4:F4%AHU6,Zone Interior Windows Total Transmitted Diffuse Solar Radiation Rate [W] !Daily [Value,Min,Hour,Minute,Max,Hour,Minute]
1789,7,E2F4:475,Zone Windows Total Transmitted Solar Radiation Rate [W] !Daily [Value,Min,Hour,Minute,Max,Hour,Minute]
1792,7,E2F4:475,Zone Interior Windows Total Transmitted Beam Solar Radiation Rate [W] !Daily [Value,Min,Hour,Minute,Max,Hour,Minute]
1795,7,E2F4:475,Zone Interior Windows Total Transmitted Diffuse Solar Radiation Rate [W] !Daily [Value,Min,Hour,Minute,Max,Hour,Minute]
1798,7,E2F4:F4%AHU4,Zone Windows Total Transmitted Solar Radiation Rate [W] !Daily [Value,Min,Hour,Minute,Max,Hour,Minute]
1801,7,E2F4:F4%AHU4,Zone Interior Windows Total Transmitted Beam Solar Radiation Rate [W] !Daily [Value,Min,Hour,Minute,Max,Hour,Minute]
1804,7,E2F4:F4%AHU4,Zone Interior Windows Total Transmitted Diffuse Solar Radiation Rate [W] !Daily [Value,Min,Hour,Minute,Max,Hour,Minute]
1807,7,E2F4:499,Zone Windows Total Transmitted Solar Radiation Rate [W] !Daily [Value,Min,Hour,Minute,Max,Hour,Minute]
1810,7,E2F4:499,Zone Interior Windows Total Transmitted Beam Solar Radiation Rate [W] !Daily [Value,Min,Hour,Minute,Max,Hour,Minute]
1813,7,E2F4:499,Zone Interior Windows Total Transmitted Diffuse Solar Radiation Rate [W] !Daily [Value,Min,Hour,Minute,Max,Hour,Minute]
1816,7,E2F4:495,Zone Windows Total Transmitted Solar Radiation Rate [W] !Daily [Value,Min,Hour,Minute,Max,Hour,Minute]
1819,7,E2F4:495,Zone Interior Windows Total Transmitted Beam Solar Radiation Rate [W] !Daily [Value,Min,Hour,Minute,Max,Hour,Minute]
1822,7,E2F4:495,Zone Interior Windows Total Transmitted Diffuse Solar Radiation Rate [W] !Daily [Value,Min,Hour,Minute,Max,Hour,Minute]
